Country,2014
Afghanistan,3.8
Albania,..
Andorra,3.0
Angola,..
Argentina,5.4
Armenia,2.2
Australia,5.2
Austria,5.4
Azerbaijan,2.6
Bahamas,..
Bahrain,2.5
Bangladesh,..
Barbados,6.2
Belarus,4.8
Belgium,6.6
Belize,6.5
Benin,4.3
Bhutan,5.9
Bolivia (Plurinational State of),7.3
Botswana,..
Brazil,5.9
Brunei Darussalam,3.4
Bulgaria,..
Burkina Faso,4.6
Burundi,..
Cabo Verde,5.0
Cambodia,1.9
Cameroon,..
Canada,..
Central African Republic,..
Chad,..
Chile,4.7
China,..
Colombia,4.7
Comoros,4.9
Congo,..
Congo (Democratic Republic of the),..
Costa Rica,6.9
Croatia,..
Cuba,..
Cyprus,6.1
Czechia,4.0
C̫te d'Ivoire,4.6
Denmark,7.6
Djibouti,..
Dominica,..
Dominican Republic,..
Ecuador,5.3
Egypt,..
El Salvador,3.4
Estonia,5.5
Eswatini (Kingdom of),7.1
Ethiopia,..
Fiji,..
Finland,7.2
France,5.5
Gabon,2.7
Gambia,..
Georgia,..
Germany,4.9
Ghana,6.2
Greece,..
Grenada,..
Guatemala,2.9
Guinea,2.4
Guinea-Bissau,..
Guyana,..
Honduras,..
"Hong Kong, China (SAR)",3.6
Hungary,4.6
Iceland,..
India,..
Indonesia,3.3
Iran (Islamic Republic of),2.8
Ireland,4.9
Israel,5.7
Italy,4.1
Jamaica,6.0
Japan,3.6
Jordan,..
Kazakhstan,..
Kenya,5.3
Kiribati,..
Korea (Republic of),5.1
Kuwait,..
Kyrgyzstan,5.5
Lao People's Democratic Republic,2.9
Latvia,5.3
Lebanon,..
Lesotho,..
Liberia,..
Liechtenstein,..
Lithuania,4.5
Luxembourg,4.0
Madagascar,..
Malawi,4.8
Malaysia,5.2
Maldives,3.5
Mali,3.6
Malta,7.3
Mauritania,..
Mauritius,4.9
Mexico,5.3
Micronesia (Federated States of),..
Moldova (Republic of),7.5
Monaco,1.0
Mongolia,4.7
Morocco,..
Mozambique,..
Myanmar,..
Namibia,..
Nepal,4.0
Netherlands,5.5
New Zealand,6.4
Nicaragua,..
Niger,6.7
Norway,7.7
Oman,..
Pakistan,2.5
Palau,..
"Palestine, State of",..
Panama,..
Paraguay,..
Peru,3.7
Philippines,..
Poland,4.9
Portugal,5.1
Qatar,3.6
Romania,3.1
Russian Federation,..
Rwanda,..
Saint Kitts and Nevis,..
Saint Lucia,4.3
Saint Vincent and the Grenadines,..
Samoa,..
San Marino,..
Sao Tome and Principe,3.7
Saudi Arabia,..
Senegal,7.4
Serbia,4.2
Seychelles,..
Sierra Leone,2.7
Singapore,..
Slovakia,4.2
Slovenia,5.3
Solomon Islands,..
South Africa,6.0
South Sudan,1.7
Spain,4.3
Sri Lanka,1.9
Sudan,..
Sweden,7.7
Switzerland,5.1
Tajikistan,..
Tanzania (United Republic of),3.5
Thailand,..
The former Yugoslav Republic of Macedonia,..
Togo,4.9
Tonga,..
Trinidad and Tobago,..
Tunisia,..
Turkey,4.4
Turkmenistan,..
Tuvalu,..
Uganda,2.3
Ukraine,5.9
United Kingdom,5.7
United States,5.0
Uruguay,..
Vanuatu,4.9
Venezuela (Bolivarian Republic of),..
Viet Nam,..
Yemen,..
Zambia,..
Zimbabwe,7.5
Algeria,..
Antigua and Barbuda,..
Bosnia and Herzegovina,..
Equatorial Guinea,..
Eritrea,..
Haiti,..
Iraq,..
Korea (Democratic People's Rep. of),..
Libya,..
Marshall Islands,..
Montenegro,..
Nauru,..
Nigeria,..
Papua New Guinea,..
Somalia,..
Suriname,..
Syrian Arab Republic,..
Timor-Leste,..
United Arab Emirates,..
Uzbekistan,..
